,0,1,2,3,4,y,m
37,23,"р. Северная Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,389.0,2009,02
39,24,"р. Сылва,  | г. Кунгур",Пермский край,Взвешенные вещества,55.0,2009,02
40,25,"р. Тагил,  | г. Верхний Тагил",Свердловская область,Ионы марганца,72.0,2009,02
41,26,"р. Уфа,  | г. Красноуфимск",Свердловская область,Взвешенные вещества,62.0,2009,02
42,27,"р. Хаукилампи-Йоки,  | г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2009,02
2,1,"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,19.0,2009,03
6,1,"вдхр. В.-Исетское, в районе водозабора г. Екатеринбурга ",Свердловская область,Взвешенные вещества,94.0,2009,03
7,2,"вдхр. Курганское,  | г. Курган",Курганская область,Ионы марганца,140.0,2009,03
8,3,"р. Айва,  | г. Красноуральск",Свердловская область,Ионы марганца,54.0,2009,03
10,5,"р. Артынка, |  с. Костино",Омская область,Ионы марганца,67.0,2009,03
11,6,р. Вильва в районе автодорожного моста Чусовой -Губаха,Пермский край,Ионы железа общего,382.0,2009,03
13,7,"р. Исеть,  | г. Екатеринбург",Свердловская область,Азот нитритный,81.0,2009,03
15,8,"р. Исеть,  | г. Шадринск",Курганская область,Азот нитритный,91.0,2009,03
16,9,"р. Исеть,  | д. Колюткино",Свердловская область,Азот нитритный,50.0,2009,03
17,10,"р. Кизел, г. Кизел, в районе автодорожного моста Губаха -Александровск",Пермский край,Ионы железа общего,2690.0,2009,03
19,11,"р. Лая, г. Красноуральск",Свердловская область,Ионы марганца,67.0,2009,03
21,12,"р. Миасс, г. Миасс",Челябинская область,Ионы марганца,57.0,2009,03
22,13,"р. Можель,  | г. Ковдор",Мурманская область,Ионы марганца,56.0,2009,03
23,14,"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,69.0,2009,03
27,16,"р. Патрушиха, г. Екатеринбург",Свердловская область,Ионы марганца,54.0,2009,03
30,18,"р. Пур, п. Самбург",Тюменская область,Ионы марганца,98.0,2009,03
31,19,"р. Пур, п. Уренгой",Тюменская область,Ионы марганца,96.0,2009,03
32,20,"р. Пышма, |  г. Березовский",Свердловская область,Азот нитритный,92.0,2009,03
34,21,"р. Пяку-Пур,  | п. Тарко-Сале",Тюменская область,Ионы железа общего,82.0,2009,03
35,22,"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,293.0,2009,03
37,23,"р. Сылва, г. Кунгур",Пермский край,Взвешенные вещества,59.0,2009,03
38,24,"р. Тагил, г. Верхний Тагил",Свердловская область,Ионы марганца,63.0,2009,03
39,25,"р. Тара,  | п. Муромцево",Омская область,Ионы марганца,91.0,2009,03
40,26,"р. Тобол, г. Курган",Курганская область,Ионы марганца,140.0,2009,03
42,27,"р. Тобол,  | с. Белозерское",Курганская область,Ионы марганца,54.0,2009,03
43,28,"р. Тобол,  | с. Звериноголовское",Курганская область,Ионы марганца,70.0,2009,03
45,30,"р. Тура,  | с. Покровское",Тюменская область,Ионы марганца,107.0,2009,03
47,32,"р. Уфа,  | г. Красноуфимск",Свердловская область,Взвешенные вещества,54.0,2009,03
2,1,"р. Роста,  | г. Мурманск",Мурманская область,Ионы ртути,6.0,2009,11
4,1,"р. Айва, 18,6 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,52.0,2009,11
5,2,"р. Айва, 22,9 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,67.0,2009,11
6,3,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,56.0,2009,11
7,4,"р. Лая, 15,1 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,53.0,2009,11
8,5,"р. Лая, 21.1 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,75.0,2009,11
9,6,"р. Лая, 22,5 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,58.0,2009,11
12,1,"р. Исеть, 522,3 км выше устья, пос. Двуреченск",Свердловская область,Взвешенные вещества,167.0,2009,11
13,2,"р. Исеть, 523.8 км выше устья, пос. Двуреченск",Свердловская область,Взвешенные вещества,180.0,2009,11
14,3,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,248.0,2009,11
15,4,"р. Исеть,  | д. Колюткино",Свердловская область,Взвешенные вещества,211.0,2009,11
16,5,"р. Кама,  | г. Чайковский",Пермский край,Взвешенные вещества,89.0,2009,11
17,6,"р. Каменка,  | г. Новосибирск",Новосибирская область,Азот нитритный,126.0,2009,11
18,7,"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,53.0,2009,11
19,8,"р. Лысьва, г. Лысьва",Пермский край,Взвешенные вещества,80.0,2009,11
20,9,"р. Плющиха,  | г. Новосибирск",Новосибирская область,Ионы марганца,77.0,2009,11
21,10,"р. Тула,  | г. Новосибирск",Новосибирская область,Азот нитритный,64.0,2009,11
22,11,"р. Турья,  | г. Краснотурьинск",Свердловская область,Взвешенные вещества,71.0,2009,11
23,12,"р. Нижняя Ельцовка,  | г. Новосибирск",Новосибирская область,Ионы марганца,86.0,2009,11
24,13,"руч. Варничный,  | г. Мурманск",Мурманская область,БПК | 5,23.0,2009,11
2,1,"р. Хауки-лампи-йоки,  | г. Заполярный",Мурманская область,Ионы ртути,6.0,2009,12
4,1,"р. Колос-йоки,  | пгт. Никель",Мурманская область,Ионы никеля,52.0,2009,12
5,2,"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,137.0,2009,12
7,1,"р. Ельцовка-1,  | г. Новосибирск",Новосибирская область,Ионы марганца,75.0,2009,12
8,2,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,297.0,2009,12
9,3,"р. Пышма,  | г. Березовский",Свердловская область,Взвешенные вещества,73.0,2009,12
10,4,"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,168.0,2009,12
11,5,"р. Тура, г. Туринск",Свердловская область,Взвешенные вещества,86.0,2009,12
12,6,"р. Чусовая,  | г. Первоуральск",Свердловская область,Взвешенные вещества,58.0,2009,12
13,7,"р. Чусовая,  | рп. Староуткинск",Свердловская область,Ионы марганца,55.0,2009,12
14,8,"р. Нижняя Ельцовка, г. Новосибирск",Новосибирская область,Ионы марганца,57.0,2009,12
