,0,1,2,3,4,y,m
89,63,"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,72.0,2010,04
91,65,"р. Тура, с. Салаирка",Тюменская область,Ионы марганца,70.0,2010,04
92,66,"р. Уй, с. Усть-Уйское",Курганская область,Ионы марганца,57.0,2010,04
93,67,"р. Хауки-Лампи-Йоки, г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2010,04
94,68,"р. Чепца, г. Глазов",Удмуртская Республика,Взвешенные вещества,117.0,2010,04
95,69,"р. Чепца, с. Полом",Удмуртская Республика,Взвешенные вещества,293.0,2010,04
96,70,"р. Чусовая,  | г. Первоуральск",Свердловская область,Взвешенные вещества,54.0,2010,04
97,71,"р. Яйва, д. Усть-Игум",Пермский край,Взвешенные вещества,68.0,2010,04
98,72,"р.Камышенка,  | г. Новосибирск",Новосибирская область,Ионы марганца,59.0,2010,04
99,73,"р.Нижняя Ельцовка, г.Новосибирск",Новосибирская область,Ионы марганца,65.0,2010,04
2,1,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ртуть,6.0,2010,06
3,2,"р.Чапаевка, г.Чапаевск",Самарская область,ГХЦГ,6.0,2010,06
7,1,"р. Белая, г. Апатиты",Мурманская область,Молибден,10.0,2010,06
9,1,"р. Блява,  | г. Медногорск",Оренбургская область,Медь,65.0,2010,06
11,3,"р. Малый Бачат,  | г. Гурьевск",Кемеровская область,Цинк,60.0,2010,06
13,5,"р. Силинка,  | п. Горный",Хабаровский край,Медь,62.0,2010,06
14,6,"р. Силинка,  | рп. Солнечный",Хабаровский край,Медь,51.0,2010,06
15,7,"р. Тартас,  | с. Северное",Новосибирская область,Цинк,88.0,2010,06
19,2,р. Вильва - автодорожный мост трассы гг. Чусовой-Губаха,Пермский край,Железо общее,78.0,2010,06
20,3,"р. Ельцовка 1,  | г. Новосибирск",Новосибирская область,Марганец,55.0,2010,06
21,4,"р. Исеть,  | г. К-Уральский",Свердловская область,Взвешенные вещества,104.0,2010,06
22,5,"р. Исеть, |  г. Шадринск",Курганская область,Взвешенные вещества,58.0,2010,06
25,7,"р. Мезень,  | д. Малонисогорская",Архангельская область,Марганец,193.0,2010,06
26,8,"р. Нейва, г. Невьянск",Свердловская область,Взвешенные вещества,177.0,2010,06
27,9,"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,86.0,2010,06
28,10,"р. Ница,  | с. Краснослободское",Свердловская область,Взвешенные вещества,93.0,2010,06
29,11,"р. Пышма,  | г. Камышлов",Свердловская область,Взвешенные вещества,50.0,2010,06
31,12,"р. Пышма, г. Талица",Свердловская область,Взвешенные вещества,107.0,2010,06
33,13,р. Сев. Вильва –  | п. Всеволодо-Вильва,Пермский край,Железо общее,101.0,2010,06
35,14,"р. Тура, г. Туринск",Свердловская область,Взвешенные вещества,94.0,2010,06
2,1,"р. Аргунь, пос.Молоканка",Забайкальский край,Ионы ртути,6.0,2010,08
4,1,"р. Амур,  | г. Комсомольск",Хабаровский край,Ионы свинца,6.0,2010,08
6,1,"р. Демьянка,  | с. Демьянское",Тюменская область,Нефтепродукты,114.0,2010,08
10,3,"р. Исеть, у г. Екатеринбург, ниже сброса сточных вод Екатеринбургского МУП ""Водоканал""",Свердловская область,Нефтепродукты,208.0,2010,08
11,4,"р. Косьва, г. Губаха",Пермский край,Фенолы,81.0,2010,08
12,5,"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,61.0,2010,08
13,6,"р. Пышма, д. Пышма",Свердловская область,Сульфиды,104.0,2010,08
16,1,"вдхр. Камское,  | д. Усть-Пожва",Пермский край,Взвешенные вещества,220.0,2010,08
19,3,"р. Большой Иргиз,  | г. Пугачев",Саратовская область,Ионы марганца ,126.0,2010,08
20,4,"р. Вильва, а/д мост трассы гг. Чусовой-Губаха",Пермский край,Ионы общего железа,137.0,2010,08
26,8,"р. Иньва, д. Слудка",Пермский край,Взвешенные вещества,53.0,2010,08
30,11,"р. Кизел, г. Кизел (мост а/д Губаха-Александровск)",Пермский край,Ионы общего железа,3590.0,2010,08
32,12,"р. Мезень,  | д. Малонисогорская",Архангельская область,Ионы марганца,212.0,2010,08
41,17,р. Сев. Вильва -  | п. Всеволодо-Вильва,Пермский край,Ионы марганца,113.0,2010,08
43,19,"р. Хаукилампи-Йоки, г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2010,08
2,1,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы ртути,7.0,2010,09
4,1,"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,12.0,2010,09
5,2,"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,11.0,2010,09
7,1,"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,56.0,2010,09
8,2,"р. Камбилеевка,  | с. Камбилеевское",Республика Северная Осетия-Алания,Фенолы,64.0,2010,09
9,3,"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы меди,162.0,2010,09
10,4,"р. Силинка, п. Горный",Хабаровский край,Ионы меди,60.0,2010,09
12,1,"вдхр. Камское,  | д. Усть-Пожва",Пермский край,Взвешенные вещества,97.0,2010,09
14,3,"р. Большой Иргиз,  | г. Пугачев",Саратовская область,Ионы марганца,143.0,2010,09
15,4,"р. Дачная, устье",Приморский край,БПК | 5,26.0,2010,09
17,5,"р. Исеть, г. Шадринск",Курганская область,Взвешенные вещества,56.0,2010,09
18,6,"р. Камбилеевка,  | с. Камбилеевское",Республика Северная Осетия-Алания,БПК | 5,70.0,2010,09
19,7,"р. Каменка,  | г. Новосибирск",Новосибирская область,Ионы марганца,65.0,2010,09
20,8,"р. Малый Бачат, | г. Гурьевск",Кемеровская область,Ионы марганца,51.0,2010,09
21,9,"р. Падовка,  | п. Стройкерамика  ",Самарская область,Фосфаты,113.0,2010,09
22,10,"р. Пельшма, г. Сокол",Вологодская область,БПК | 5,43.0,2010,09
24,11,"р. Пяку-Пур,  | г. Тарко-Сале","Тюменская область, | Ямало-Ненецкий  автономный округ",Ионы железа общего,69.0,2010,09
25,12,"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы марганца,81.0,2010,09
26,13,"р. Тавда, г. Тавда",Свердловская область,Взвешенные вещества,72.0,2010,09
27,14,"р. Ускат, с. Красулино",Кемеровская область,Азот аммонийный,54.0,2010,09
2,1,"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,13.0,2010,10
3,2,"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,11.0,2010,10
8,2,"р. Косьва, г. Губаха",Пермский край,Фенолы,57.0,2010,10
9,3,"р. Малый Бачат,  | г. Гурьевск",Кемеровская область,Ионы цинка,122.0,2010,10
10,4,"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,118.0,2010,10
12,5,"р. Правая Хетта,  | пос. Пангоды","Ямало-Ненецкий автономный округ, | Тюменская область",Ионы цинка,91.0,2010,10
13,6,"р. Силинка, п. Горный",Хабаровский край,Ионы меди,62.0,2010,10
14,7,"р. Силинка,  | пгт Солнечный",Хабаровский край,Ионы меди,50.0,2010,10
15,8,"р. Тура, с. Покровское",Тюменская область,Ионы меди,56.0,2010,10
17,1,"оз. Бутырино,  | с. Бутырино",Курганская область,Взвешенные вещества,83.0,2010,10
18,2,"р. Большой Иргиз,  | г. Пугачев",Саратовская область,Ионы марганца,196.0,2010,10
19,3,р. Вильва в районе автодорожного моста Чусовой-Губаха,Пермский край,Ионы железа общего,499.0,2010,10
20,4,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,119.0,2010,10
21,5,"р. Исеть, г. Шадринск",Курганская область,Взвешенные вещества,102.0,2010,10
22,6,"р. Камбилеевка,  | с. Камбилеевское",Республика Северная Осетия-Алания,БПК | 5,25.0,2010,10
23,7,"р. Кизел, г. Кизел, в районе автодорож-ного моста Губаха-Александровск",Пермский край,Ионы железа общего,1890.0,2010,10
25,8,"р. Малый Бачат,  | г. Гурьевск",Кемеровская область,Ионы марганца,98.0,2010,10
26,9,"р. Падовая, г. Самара",Самарская область,Азот нитритный,120.0,2010,10
27,10,"р. Северная Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,131.0,2010,10
2,1,"р. Хаукилампийоки,  | г. Заполярный",Мурманская область,Ионы ртути,6.0,2010,11
4,1,"р. Дегтярка,  | г. Дегтярск",Свердловская область,Ионы меди**,110.0,2010,11
6,2,"р. Исток, г. Дегтярск",Свердловская область,Ионы меди**,3800.0,2010,11
8,3,"р. Колос-йоки,  | п. Никель",Мурманская область,Ионы никеля,59.0,2010,11
9,4,"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,83.0,2010,11
11,5,"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,58.0,2010,11
13,1,"вдхр. Воткинское,  | г. Пермь",Пермский край,Взвешенные вещества,112.0,2010,11
14,2,"вдхр. Камское,  | г. Пермь",Пермский край,Взвешенные вещества,207.0,2010,11
15,3,р. Вильва в районе автодорожного моста Чусовой-Губаха,Пермский край,Ионы железа общего,59.0,2010,11
16,4,"р. Дегтярка,  | г. Дегтярск",Свердловская область,Ионы марганца**,61.0,2010,11
17,5,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,306.0,2010,11
18,6,"р. Исеть,  | г. Каменск-Уральский",Свердловская область,Взвешенные вещества,75.0,2010,11
19,7,"р. Исток, г. Дегтярск",Свердловская область,Ионы железа общего**,5225.0,2010,11
21,8,"р. Кизел, г. Кизел в районе автодорож-ного моста Губаха -Александровск",Пермский край,Ионы железа общего,779.0,2010,11
23,9,"р. Лобва, р.п. Лобва",Свердловская область,Взвешенные вещества,67.0,2010,11
24,10,"р. Ница,  | с. Краснослободское",Свердловская область,Взвешенные вещества,80.0,2010,11
25,11,"р. Северная Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,389.0,2010,11
29,13,"р. Камышенка,  | г. Новосибирск",Новосибирская область,Ионы марганца,83.0,2010,11
30,14,"ручей Варничный,  | г. Мурманск",Мурманская область,Легкоокисляемые органические вещества по БПК | 5,26.0,2010,11
2,1,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,97.0,2010,12
3,2,"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы никеля,62.0,2010,12
5,1,"вдхр. Магнитогор-ское (река Урал), |  г. Магнитогорск",Челябинская область,Ионы марганца,55.0,2010,12
6,2,"оз. Бутырино, |  с. Бутырино",Курганская область,Взвешенные вещества,60.0,2010,12
7,3,"р. Вильва, в районе автодорожного моста трассы  Чусовой-Губаха",Пермский край,Ионы железа общего,96.0,2010,12
8,4,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,63.0,2010,12
9,5,"р. Кизел, г. Кизел (в районе автодорож-ного моста  Губаха-Александровск)",Пермский край,Ионы железа общего,211.0,2010,12
11,6,"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,73.0,2010,12
12,7,"р. Плющиха,  |  г. Новосибирск",Новосибирская область,Ионы марганца,62.0,2010,12
13,8,"р. Северная  Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,117.0,2010,12
15,9,"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,50.0,2010,12
16,10,"р. Увелка,  | г. Южноуральск",Челябинская область,Ионы марганца,60.0,2010,12
2,1,"р. Белая,  | г. Апатиты",Мурманская область,Ионы молибдена,13.0,2011,09
3,2,"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,12.0,2011,09
5,1,"р. Косьва,  | г. Губаха",Пермский край,Фенолы,65.0,2011,09
7,3,"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы цинка,167.0,2011,09
10,2,"р. Большой Иргиз,  | г. Пугачёв",Саратовская область,Ионы марганца,146.0,2011,09
12,3,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,398.0,2011,09
13,4,"р. Камбилеевка,  | с. Камбилеевское",Республика Северная Осетия - Алания,Легкоокисляемые органические вещества по  | БПК | 5,48.0,2011,09
16,5,"р. Кизел, г. Кизел (в районе автодорожного моста Губаха-Александровск)",Пермский край,Ионы железа общего,3800.0,2011,09
18,6,"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,117.0,2011,09
19,7,"р. Озерная,  | п. Шумный",Камчатский край,Ионы железа общего,81.0,2011,09
20,8,"р. Паужетка,  | п. Паужетка",Камчатский край,Ионы железа общего,80.0,2011,09
22,9,"р. Пельшма,  | г. Сокол",Вологодская область,Легкоокисляемые органические вещества по БПК | 5,32.0,2011,09
23,10,р. Северная Вильва –  | п. Всеволодо-Вильва,Пермский край,Ионы марганца,108.0,2011,09
24,11,"р. Тобол, г. Курган",Курганская область,Ионы марганца,72.0,2011,09
25,12,"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,198.0,2011,09
26,13,"р. Упа, г. Тула",Тульская область,Азот нитритный,79.0,2011,09
29,15,"р.Камышенка,  | г. Новосибирск",Новосибирская область,Ионы марганца,63.0,2011,09
30,16,"р.Омь,  | г. Куйбышев",Новосибирская область,Ионы марганца,220.0,2011,09
