obj,loc,p,v,y,m,lat,lon
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,53.0,2010,1,58.14405373239438,61.07888843661972
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,72.0,2010,1,58.14405373239438,61.07888843661972
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,55.0,2010,1,58.14405373239438,61.07888843661972
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,120.0,2010,1,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,90.0,2010,1,58.14405373239438,61.07888843661972
"р. Тура,  | д. Тимофеево",Свердловская область,Ионы марганца,66.0,2010,1,58.14405373239438,61.07888843661972
"р. Ирбит, г. Ирбит",Свердловская область,Ионы марганца,72.0,2010,2,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,52.0,2010,2,58.14405373239438,61.07888843661972
"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,78.0,2010,2,58.14405373239438,61.07888843661972
"р. Лая, 22,5 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,61.0,2010,2,58.14405373239438,61.07888843661972
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,63.0,2010,2,58.14405373239438,61.07888843661972
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,80.0,2010,2,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,110.0,2010,2,58.14405373239438,61.07888843661972
"р. Тавда, г. Тавда",Свердловская область,Ионы марганца,57.0,2010,2,58.14405373239438,61.07888843661972
"р. Тура,  | д. Тимофеево",Свердловская область,Ионы марганца,59.0,2010,2,58.14405373239438,61.07888843661972
"р. Чусовая,  | г. Чусовой",Свердловская область,Взвешенные вещества,57.0,2010,2,58.14405373239438,61.07888843661972
"р. Тагил, г. Нижний Тагил",Свердловская область,Ионы цинка,100.0,2010,3,58.14405373239438,61.07888843661972
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,54.0,2010,3,58.14405373239438,61.07888843661972
"р. Исеть, 522,3 км выше устья, п. Двуреченск",Свердловская область,Взвешенные вещества,124.0,2010,3,58.14405373239438,61.07888843661972
"р. Исеть, 523.8 км выше устья, п. Двуреченск",Свердловская область,Взвешенные вещества,119.0,2010,3,58.14405373239438,61.07888843661972
"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,62.0,2010,3,58.14405373239438,61.07888843661972
"р. Лая, 21.1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,69.0,2010,3,58.14405373239438,61.07888843661972
"р. Лая, 22,5 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,70.0,2010,3,58.14405373239438,61.07888843661972
"р. Нейва, г. Невьянск",Свердловская область,Ионы марганца,110.0,2010,3,58.14405373239438,61.07888843661972
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,75.0,2010,3,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,86.0,2010,3,58.14405373239438,61.07888843661972
"р. Тагил, г. Верхний Тагил",Свердловская область,Ионы марганца,51.0,2010,3,58.14405373239438,61.07888843661972
"р. Тура, д. Тимофеево",Свердловская область,Ионы марганца,51.0,2010,3,58.14405373239438,61.07888843661972
"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,53.0,2010,4,58.14405373239438,61.07888843661972
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,52.0,2010,4,58.14405373239438,61.07888843661972
"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,58.0,2010,4,58.14405373239438,61.07888843661972
"р. Лая, 21.1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,64.0,2010,4,58.14405373239438,61.07888843661972
"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,59.0,2010,4,58.14405373239438,61.07888843661972
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,61.0,2010,4,58.14405373239438,61.07888843661972
"р. Ирбит, г. Ирбит",Свердловская область,Взвешенные вещества,217.0,2010,4,58.14405373239438,61.07888843661972
"р. Исеть, 522,3 км выше устья, | п. Двуреченск",Свердловская область,Взвешенные вещества,148.0,2010,4,58.14405373239438,61.07888843661972
"р. Исеть, 523.8 км выше устья,  | п. Двуреченск",Свердловская область,Взвешенные вещества,161.0,2010,4,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,85.0,2010,4,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Каменск-Уральский",Свердловская область,Взвешенные вещества,404.0,2010,4,58.14405373239438,61.07888843661972
"р. Исеть,  | д. Колюткино",Свердловская область,Взвешенные вещества,158.0,2010,4,58.14405373239438,61.07888843661972
"р. Кунара,  | г. Богданович",Свердловская область,Взвешенные вещества,67.0,2010,4,58.14405373239438,61.07888843661972
