obj,loc,p,v,y,m
"р. Пышма,  | г. Камышлов",Свердловская область,Взвешенные вещества,50.0,2010,6
"р. Пышма, г. Талица",Свердловская область,Взвешенные вещества,107.0,2010,6
р. Сев. Вильва –  | п. Всеволодо-Вильва,Пермский край,Железо общее,101.0,2010,6
"р. Тура, г. Туринск",Свердловская область,Взвешенные вещества,94.0,2010,6
"р. Аргунь, пос.Молоканка",Забайкальский край,Ионы ртути,6.0,2010,8
"р. Амур,  | г. Комсомольск",Хабаровский край,Ионы свинца,6.0,2010,8
"р. Демьянка,  | с. Демьянское",Тюменская область,Нефтепродукты,114.0,2010,8
"р. Исеть, у г. Екатеринбург, ниже сброса сточных вод Екатеринбургского МУП ""Водоканал""",Свердловская область,Нефтепродукты,208.0,2010,8
"р. Косьва, г. Губаха",Пермский край,Фенолы,81.0,2010,8
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,61.0,2010,8
"р. Пышма, д. Пышма",Свердловская область,Сульфиды,104.0,2010,8
"вдхр. Камское,  | д. Усть-Пожва",Пермский край,Взвешенные вещества,220.0,2010,8
"р. Большой Иргиз,  | г. Пугачев",Саратовская область,Ионы марганца ,126.0,2010,8
"р. Вильва, а/д мост трассы гг. Чусовой-Губаха",Пермский край,Ионы общего железа,137.0,2010,8
"р. Иньва, д. Слудка",Пермский край,Взвешенные вещества,53.0,2010,8
"р. Кизел, г. Кизел (мост а/д Губаха-Александровск)",Пермский край,Ионы общего железа,3590.0,2010,8
"р. Мезень,  | д. Малонисогорская",Архангельская область,Ионы марганца,212.0,2010,8
р. Сев. Вильва -  | п. Всеволодо-Вильва,Пермский край,Ионы марганца,113.0,2010,8
"р. Хаукилампи-Йоки, г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2010,8
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы ртути,7.0,2010,9
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,12.0,2010,9
"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,11.0,2010,9
"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,56.0,2010,9
"р. Камбилеевка,  | с. Камбилеевское",Республика Северная Осетия – Алания,Фенолы,64.0,2010,9
"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы меди,162.0,2010,9
"р. Силинка, п. Горный",Хабаровский край,Ионы меди,60.0,2010,9
"вдхр. Камское,  | д. Усть-Пожва",Пермский край,Взвешенные вещества,97.0,2010,9
"р. Большой Иргиз,  | г. Пугачев",Саратовская область,Ионы марганца,143.0,2010,9
"р. Дачная, устье",Приморский край,БПК | 5,26.0,2010,9
"р. Исеть, г. Шадринск",Курганская область,Взвешенные вещества,56.0,2010,9
"р. Камбилеевка,  | с. Камбилеевское",Республика Северная Осетия – Алания,БПК | 5,70.0,2010,9
"р. Каменка,  | г. Новосибирск",Новосибирская область,Ионы марганца,65.0,2010,9
"р. Малый Бачат, | г. Гурьевск",Кемеровская область – Кузбасс,Ионы марганца,51.0,2010,9
"р. Падовка,  | п. Стройкерамика  ",Самарская область,Фосфаты,113.0,2010,9
"р. Пельшма, г. Сокол",Вологодская область,БПК | 5,43.0,2010,9
"р. Пяку-Пур,  | г. Тарко-Сале",Тюменская область,Ионы железа общего,69.0,2010,9
"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы марганца,81.0,2010,9
"р. Тавда, г. Тавда",Свердловская область,Взвешенные вещества,72.0,2010,9
"р. Ускат, с. Красулино",Кемеровская область – Кузбасс,Азот аммонийный,54.0,2010,9
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,13.0,2010,10
"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,11.0,2010,10
"р. Косьва, г. Губаха",Пермский край,Фенолы,57.0,2010,10
"р. Малый Бачат,  | г. Гурьевск",Кемеровская область – Кузбасс,Ионы цинка,122.0,2010,10
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,118.0,2010,10
"р. Правая Хетта,  | пос. Пангоды",Ямало-Ненецкий автономный округ,Ионы цинка,91.0,2010,10
"р. Силинка, п. Горный",Хабаровский край,Ионы меди,62.0,2010,10
"р. Силинка,  | пгт Солнечный",Хабаровский край,Ионы меди,50.0,2010,10
"р. Тура, с. Покровское",Тюменская область,Ионы меди,56.0,2010,10
"оз. Бутырино,  | с. Бутырино",Курганская область,Взвешенные вещества,83.0,2010,10
"р. Большой Иргиз,  | г. Пугачев",Саратовская область,Ионы марганца,196.0,2010,10
р. Вильва в районе автодорожного моста Чусовой-Губаха,Пермский край,Ионы железа общего,499.0,2010,10
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,119.0,2010,10
"р. Исеть, г. Шадринск",Курганская область,Взвешенные вещества,102.0,2010,10
"р. Камбилеевка,  | с. Камбилеевское",Республика Северная Осетия – Алания,БПК | 5,25.0,2010,10
"р. Кизел, г. Кизел, в районе автодорож-ного моста Губаха-Александровск",Пермский край,Ионы железа общего,1890.0,2010,10
"р. Малый Бачат,  | г. Гурьевск",Кемеровская область – Кузбасс,Ионы марганца,98.0,2010,10
"р. Падовая, г. Самара",Самарская область,Азот нитритный,120.0,2010,10
"р. Северная Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,131.0,2010,10
"р. Хаукилампийоки,  | г. Заполярный",Мурманская область,Ионы ртути,6.0,2010,11
"р. Дегтярка,  | г. Дегтярск",Свердловская область,Ионы меди**,110.0,2010,11
"р. Исток, г. Дегтярск",Свердловская область,Ионы меди**,3800.0,2010,11
"р. Колос-йоки,  | п. Никель",Мурманская область,Ионы никеля,59.0,2010,11
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,83.0,2010,11
"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,58.0,2010,11
"вдхр. Воткинское,  | г. Пермь",Пермский край,Взвешенные вещества,112.0,2010,11
"вдхр. Камское,  | г. Пермь",Пермский край,Взвешенные вещества,207.0,2010,11
р. Вильва в районе автодорожного моста Чусовой-Губаха,Пермский край,Ионы железа общего,59.0,2010,11
"р. Дегтярка,  | г. Дегтярск",Свердловская область,Ионы марганца**,61.0,2010,11
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,306.0,2010,11
"р. Исеть,  | г. Каменск-Уральский",Свердловская область,Взвешенные вещества,75.0,2010,11
"р. Исток, г. Дегтярск",Свердловская область,Ионы железа общего**,5225.0,2010,11
"р. Кизел, г. Кизел в районе автодорож-ного моста Губаха -Александровск",Пермский край,Ионы железа общего,779.0,2010,11
"р. Лобва, р.п. Лобва",Свердловская область,Взвешенные вещества,67.0,2010,11
"р. Ница,  | с. Краснослободское",Свердловская область,Взвешенные вещества,80.0,2010,11
"р. Северная Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,389.0,2010,11
"р. Камышенка,  | г. Новосибирск",Новосибирская область,Ионы марганца,83.0,2010,11
"ручей Варничный,  | г. Мурманск",Мурманская область,Легкоокисляемые органические вещества по БПК | 5,26.0,2010,11
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,97.0,2010,12
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы никеля,62.0,2010,12
"вдхр. Магнитогор-ское (река Урал), |  г. Магнитогорск",Челябинская область,Ионы марганца,55.0,2010,12
"оз. Бутырино, |  с. Бутырино",Курганская область,Взвешенные вещества,60.0,2010,12
"р. Вильва, в районе автодорожного моста трассы  Чусовой-Губаха",Пермский край,Ионы железа общего,96.0,2010,12
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,63.0,2010,12
"р. Кизел, г. Кизел (в районе автодорож-ного моста  Губаха-Александровск)",Пермский край,Ионы железа общего,211.0,2010,12
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,73.0,2010,12
"р. Плющиха,  |  г. Новосибирск",Новосибирская область,Ионы марганца,62.0,2010,12
"р. Северная  Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,117.0,2010,12
"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,50.0,2010,12
"р. Увелка,  | г. Южноуральск",Челябинская область,Ионы марганца,60.0,2010,12
"р. Белая,  | г. Апатиты",Мурманская область,Ионы молибдена,13.0,2011,9
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,12.0,2011,9
"р. Косьва,  | г. Губаха",Пермский край,Фенолы,65.0,2011,9
"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы цинка,167.0,2011,9
"р. Большой Иргиз,  | г. Пугачёв",Саратовская область,Ионы марганца,146.0,2011,9
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,398.0,2011,9
"р. Камбилеевка,  | с. Камбилеевское",Республика Северная Осетия – Алания,Легкоокисляемые органические вещества по  | БПК | 5,48.0,2011,9
"р. Кизел, г. Кизел (в районе автодорожного моста Губаха-Александровск)",Пермский край,Ионы железа общего,3800.0,2011,9
"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,117.0,2011,9
"р. Озерная,  | п. Шумный",Камчатский край,Ионы железа общего,81.0,2011,9
"р. Паужетка,  | п. Паужетка",Камчатский край,Ионы железа общего,80.0,2011,9
"р. Пельшма,  | г. Сокол",Вологодская область,Легкоокисляемые органические вещества по БПК | 5,32.0,2011,9
р. Северная Вильва –  | п. Всеволодо-Вильва,Пермский край,Ионы марганца,108.0,2011,9
"р. Тобол, г. Курган",Курганская область,Ионы марганца,72.0,2011,9
"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,198.0,2011,9
"р. Упа, г. Тула",Тульская область,Азот нитритный,79.0,2011,9
"р.Камышенка,  | г. Новосибирск",Новосибирская область,Ионы марганца,63.0,2011,9
"р.Омь,  | г. Куйбышев",Новосибирская область,Ионы марганца,220.0,2011,9
