obj,loc,p,v,y,m
"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,19.0,2009,3
"вдхр. В.-Исетское, в районе водозабора г. Екатеринбурга ",Свердловская область,Взвешенные вещества,94.0,2009,3
"вдхр. Курганское,  | г. Курган",Курганская область,Ионы марганца,140.0,2009,3
"р. Айва,  | г. Красноуральск",Свердловская область,Ионы марганца,54.0,2009,3
"р. Артынка, |  с. Костино",Омская область,Ионы марганца,67.0,2009,3
р. Вильва в районе автодорожного моста Чусовой -Губаха,Пермский край,Ионы железа общего,382.0,2009,3
"р. Исеть,  | г. Екатеринбург",Свердловская область,Азот нитритный,81.0,2009,3
"р. Исеть,  | г. Шадринск",Курганская область,Азот нитритный,91.0,2009,3
"р. Исеть,  | д. Колюткино",Свердловская область,Азот нитритный,50.0,2009,3
"р. Кизел, г. Кизел, в районе автодорожного моста Губаха -Александровск",Пермский край,Ионы железа общего,2690.0,2009,3
"р. Лая, г. Красноуральск",Свердловская область,Ионы марганца,67.0,2009,3
"р. Миасс, г. Миасс",Челябинская область,Ионы марганца,57.0,2009,3
"р. Можель,  | г. Ковдор",Мурманская область,Ионы марганца,56.0,2009,3
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,69.0,2009,3
"р. Патрушиха, г. Екатеринбург",Свердловская область,Ионы марганца,54.0,2009,3
"р. Пур, п. Самбург",Тюменская область,Ионы марганца,98.0,2009,3
"р. Пур, п. Уренгой",Тюменская область,Ионы марганца,96.0,2009,3
"р. Пышма, |  г. Березовский",Свердловская область,Азот нитритный,92.0,2009,3
"р. Пяку-Пур,  | п. Тарко-Сале",Тюменская область,Ионы железа общего,82.0,2009,3
"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,293.0,2009,3
"р. Сылва, г. Кунгур",Пермский край,Взвешенные вещества,59.0,2009,3
"р. Тагил, г. Верхний Тагил",Свердловская область,Ионы марганца,63.0,2009,3
"р. Тара,  | п. Муромцево",Омская область,Ионы марганца,91.0,2009,3
"р. Тобол, г. Курган",Курганская область,Ионы марганца,140.0,2009,3
"р. Тобол,  | с. Белозерское",Курганская область,Ионы марганца,54.0,2009,3
"р. Тобол,  | с. Звериноголовское",Курганская область,Ионы марганца,70.0,2009,3
"р. Тура,  | с. Покровское",Тюменская область,Ионы марганца,107.0,2009,3
"р. Уфа,  | г. Красноуфимск",Свердловская область,Взвешенные вещества,54.0,2009,3
"р. Роста,  | г. Мурманск",Мурманская область,Ионы ртути,6.0,2009,11
"р. Айва, 18,6 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,52.0,2009,11
"р. Айва, 22,9 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,67.0,2009,11
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,56.0,2009,11
"р. Лая, 15,1 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,53.0,2009,11
"р. Лая, 21.1 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,75.0,2009,11
"р. Лая, 22,5 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,58.0,2009,11
"р. Исеть, 522,3 км выше устья, пос. Двуреченск",Свердловская область,Взвешенные вещества,167.0,2009,11
"р. Исеть, 523.8 км выше устья, пос. Двуреченск",Свердловская область,Взвешенные вещества,180.0,2009,11
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,248.0,2009,11
"р. Исеть,  | д. Колюткино",Свердловская область,Взвешенные вещества,211.0,2009,11
"р. Кама,  | г. Чайковский",Пермский край,Взвешенные вещества,89.0,2009,11
"р. Каменка,  | г. Новосибирск",Новосибирская область,Азот нитритный,126.0,2009,11
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,53.0,2009,11
"р. Лысьва, г. Лысьва",Пермский край,Взвешенные вещества,80.0,2009,11
"р. Плющиха,  | г. Новосибирск",Новосибирская область,Ионы марганца,77.0,2009,11
"р. Тула,  | г. Новосибирск",Новосибирская область,Азот нитритный,64.0,2009,11
"р. Турья,  | г. Краснотурьинск",Свердловская область,Взвешенные вещества,71.0,2009,11
"р. Нижняя Ельцовка,  | г. Новосибирск",Новосибирская область,Ионы марганца,86.0,2009,11
"руч. Варничный,  | г. Мурманск",Мурманская область,БПК | 5,23.0,2009,11
"р. Хауки-лампи-йоки,  | г. Заполярный",Мурманская область,Ионы ртути,6.0,2009,12
"р. Колос-йоки,  | пгт. Никель",Мурманская область,Ионы никеля,52.0,2009,12
"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,137.0,2009,12
"р. Ельцовка-1,  | г. Новосибирск",Новосибирская область,Ионы марганца,75.0,2009,12
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,297.0,2009,12
"р. Пышма,  | г. Березовский",Свердловская область,Взвешенные вещества,73.0,2009,12
"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,168.0,2009,12
"р. Тура, г. Туринск",Свердловская область,Взвешенные вещества,86.0,2009,12
"р. Чусовая,  | г. Первоуральск",Свердловская область,Взвешенные вещества,58.0,2009,12
"р. Чусовая,  | рп. Староуткинск",Свердловская область,Ионы марганца,55.0,2009,12
"р. Нижняя Ельцовка, г. Новосибирск",Новосибирская область,Ионы марганца,57.0,2009,12
"р. Чапаевка,  | г. Чапаевск",Самарская область,Ионы ртути,9.0,2010,1
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,53.0,2010,1
"р. Блява,  | г. Медногорск",Оренбургская область,Ионы меди,60.0,2010,1
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,56.0,2010,1
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,72.0,2010,1
"р. Надым, г. Надым",Тюменская область,Ионы железа общего,54.0,2010,1
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,55.0,2010,1
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,120.0,2010,1
"р. Пур, п. Самбург",Тюменская область,Ионы железа общего,67.0,2010,1
"р. Пур, п. Уренгой",Тюменская область,Ионы железа общего,72.0,2010,1
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,90.0,2010,1
